Bond            Residue     Mean        StdDev
P-OP1           DA          1.517       0.019
P-OP2           DA          1.517       0.019
P-O5'           DA          1.614       0.018
O5'-C5'         DA          1.450       0.017
C5'-C4'         DA          1.509       0.010
C4'-O4'         DA          1.442       0.010
C4'-C3'         DA          1.526       0.011
O4'-C1'         DA          1.425       0.010
C3'-O3'         DA          1.424       0.010
C3'-C2'         DA          1.526       0.010
C2'-C1'         DA          1.521       0.012
C1'-N9          DA          1.462       0.011
N9-C8           DA          1.373       0.010
N9-C4           DA          1.377       0.010
C8-N7           DA          1.310       0.010
N7-C5           DA          1.388       0.010
C5-C6           DA          1.408       0.010
C5-C4           DA          1.381       0.010
C6-N6           DA          1.330       0.010
C6-N1           DA          1.354       0.010
N1-C2           DA          1.339       0.010
C2-N3           DA          1.330       0.010
N3-C4           DA          1.343       0.010
P-OP1           DC          1.517       0.019
P-OP2           DC          1.517       0.019
P-O5'           DC          1.614       0.018
O5'-C5'         DC          1.450       0.017
C5'-C4'         DC          1.509       0.010
C4'-O4'         DC          1.445       0.010
C4'-C3'         DC          1.526       0.011
O4'-C1'         DC          1.413       0.010
C3'-O3'         DC          1.424       0.010
C3'-C2'         DC          1.522       0.010
C2'-C1'         DC          1.520       0.010
C1'-N1          DC          1.480       0.011
N1-C2           DC          1.397       0.010
N1-C6           DC          1.360       0.012
C2-O2           DC          1.241       0.010
C2-N3           DC          1.355       0.012
N3-C4           DC          1.339       0.011
C4-N4           DC          1.325       0.011
C4-C5           DC          1.422       0.012
C5-C6           DC          1.342       0.010
P-OP1           DG          1.517       0.019
P-OP2           DG          1.517       0.019
P-O5'           DG          1.614       0.018
O5'-C5'         DG          1.450       0.017
C5'-C4'         DG          1.509       0.010
C4'-O4'         DG          1.442       0.010
C4'-C3'         DG          1.526       0.011
O4'-C1'         DG          1.425       0.010
C3'-O3'         DG          1.424       0.010
C3'-C2'         DG          1.526       0.010
C2'-C1'         DG          1.521       0.012
C1'-N9          DG          1.462       0.011
N9-C8           DG          1.373       0.010
N9-C4           DG          1.375       0.010
C8-N7           DG          1.312       0.010
N7-C5           DG          1.390       0.010
C5-C6           DG          1.417       0.010
C5-C4           DG          1.377       0.010
C6-O6           DG          1.239       0.010
C6-N1           DG          1.396       0.011
N1-C2           DG          1.374       0.010
C2-N2           DG          1.340       0.010
C2-N3           DG          1.333       0.010
N3-C4           DG          1.355       0.010
P-OP1           DT          1.517       0.019
P-OP2           DT          1.517       0.019
P-O5'           DT          1.614       0.018
O5'-C5'         DT          1.450       0.017
C5'-C4'         DT          1.509       0.010
C4'-O4'         DT          1.445       0.010
C4'-C3'         DT          1.526       0.011
O4'-C1'         DT          1.422       0.010
C3'-O3'         DT          1.424       0.010
C3'-C2'         DT          1.522       0.010
C2'-C1'         DT          1.523       0.013
C1'-N1          DT          1.477       0.014
N1-C2           DT          1.379       0.010
N1-C6           DT          1.380       0.011
C2-O2           DT          1.224       0.011
C2-N3           DT          1.373       0.010
N3-C4           DT          1.383       0.010
C4-O4           DT          1.234       0.014
C4-C5           DT          1.446       0.010
C5-C6           DT          1.343       0.011
-

Angle           Residue     Mean        StdDev
OP1-P-OP2       DA          112.864     1.690
OP1-P-O5'       DA          105.808     2.070
OP2-P-O5'       DA          105.808     2.070
P-O5'-C5'       DA          118.783     1.500
O5'-C5'-C4'     DA          109.342     1.500
C5'-C4'-O4'     DA          109.123     1.500
C5'-C4'-C3'     DA          114.866     1.630
O4'-C4'-C3'     DA          105.506     1.500
C4'-O4'-C1'     DA          108.795     1.500
C4'-C3'-O3'     DA          110.527     2.370
C4'-C3'-C2'     DA          102.433     1.500
O3'-C3'-C2'     DA          111.424     1.960
C3'-C2'-C1'     DA          102.663     1.500
O4'-C1'-C2'     DA          106.035     1.500
O4'-C1'-N9      DA          108.236     1.500
C2'-C1'-N9      DA          114.190     1.670
C1'-N9-C8       DA          127.636     2.810
C1'-N9-C4       DA          126.671     2.930
C8-N9-C4        DA          105.693     1.500
N9-C8-N7        DA          113.469     1.500
C8-N7-C5        DA          104.739     1.500
N7-C5-C6        DA          132.250     1.500
N7-C5-C4        DA          110.483     1.500
C6-C5-C4        DA          117.267     1.500
C5-C6-N6        DA          123.792     1.500
C5-C6-N1        DA          117.409     1.500
N6-C6-N1        DA          118.799     1.500
C6-N1-C2        DA          118.521     1.500
N1-C2-N3        DA          129.332     1.500
C2-N3-C4        DA          110.982     1.500
N9-C4-C5        DA          105.616     1.500
N9-C4-N3        DA          127.895     1.500
C5-C4-N3        DA          126.489     1.500
OP1-P-OP2       DC          112.864     1.690
OP1-P-O5'       DC          105.808     2.070
OP2-P-O5'       DC          105.808     2.070
P-O5'-C5'       DC          118.783     1.500
O5'-C5'-C4'     DC          109.342     1.500
C5'-C4'-O4'     DC          109.615     1.500
C5'-C4'-C3'     DC          114.866     1.630
O4'-C4'-C3'     DC          105.770     1.500
C4'-O4'-C1'     DC          109.692     1.500
C4'-C3'-O3'     DC          110.527     2.370
C4'-C3'-C2'     DC          102.800     1.500
O3'-C3'-C2'     DC          110.636     2.590
C3'-C2'-C1'     DC          102.834     1.500
O4'-C1'-C2'     DC          106.308     1.500
O4'-C1'-N1      DC          107.584     1.500
C2'-C1'-N1      DC          114.268     1.500
C1'-N1-C2       DC          118.777     1.500
C1'-N1-C6       DC          120.713     1.500
C2-N1-C6        DC          120.510     1.500
N1-C2-O2        DC          118.710     1.500
N1-C2-N3        DC          118.927     1.500
O2-C2-N3        DC          122.370     1.500
C2-N3-C4        DC          120.266     1.500
N3-C4-N4        DC          117.855     1.500
N3-C4-C5        DC          121.269     1.500
N4-C4-C5        DC          120.876     1.500
C4-C5-C6        DC          117.808     1.500
N1-C6-C5        DC          121.215     1.500
OP1-P-OP2       DG          112.864     1.690
OP1-P-O5'       DG          105.808     2.070
OP2-P-O5'       DG          105.808     2.070
P-O5'-C5'       DG          118.783     1.500
O5'-C5'-C4'     DG          109.342     1.500
C5'-C4'-O4'     DG          109.123     1.500
C5'-C4'-C3'     DG          114.866     1.630
O4'-C4'-C3'     DG          105.506     1.500
C4'-O4'-C1'     DG          108.795     1.500
C4'-C3'-O3'     DG          110.527     2.370
C4'-C3'-C2'     DG          102.433     1.500
O3'-C3'-C2'     DG          111.424     1.960
C3'-C2'-C1'     DG          102.663     1.500
O4'-C1'-C2'     DG          106.035     1.500
O4'-C1'-N9      DG          108.236     1.500
C2'-C1'-N9      DG          114.190     1.670
C1'-N9-C8       DG          127.617     2.810
C1'-N9-C4       DG          126.652     2.930
C8-N9-C4        DG          105.731     1.500
N9-C8-N7        DG          113.507     1.500
C8-N7-C5        DG          104.778     1.500
N7-C5-C6        DG          130.030     1.500
N7-C5-C4        DG          110.574     1.500
C6-C5-C4        DG          119.397     1.500
C5-C6-O6        DG          128.244     1.500
C5-C6-N1        DG          111.367     1.500
O6-C6-N1        DG          120.389     1.500
C6-N1-C2        DG          125.351     1.500
N1-C2-N2        DG          116.576     1.500
N1-C2-N3        DG          123.602     1.500
N2-C2-N3        DG          119.821     1.500
C2-N3-C4        DG          112.066     1.500
N9-C4-C5        DG          105.411     1.500
N9-C4-N3        DG          126.378     1.500
C5-C4-N3        DG          128.211     1.500
OP1-P-OP2       DT          112.864     1.690
OP1-P-O5'       DT          105.808     2.070
OP2-P-O5'       DT          105.808     2.070
P-O5'-C5'       DT          118.783     1.500
O5'-C5'-C4'     DT          109.342     1.500
C5'-C4'-O4'     DT          109.615     1.500
C5'-C4'-C3'     DT          114.866     1.630
O4'-C4'-C3'     DT          105.770     1.500
C4'-O4'-C1'     DT          109.692     1.500
C4'-C3'-O3'     DT          110.527     2.370
C4'-C3'-C2'     DT          102.800     1.500
O3'-C3'-C2'     DT          110.636     2.590
C3'-C2'-C1'     DT          102.834     1.500
O4'-C1'-C2'     DT          106.308     1.500
O4'-C1'-N1      DT          107.584     1.500
C2'-C1'-N1      DT          114.268     1.500
C1'-N1-C2       DT          118.265     1.500
C1'-N1-C6       DT          120.492     1.500
C2-N1-C6        DT          121.243     1.500
N1-C2-O2        DT          122.872     1.500
N1-C2-N3        DT          114.786     1.500
O2-C2-N3        DT          122.342     1.500
C2-N3-C4        DT          127.106     1.500
N3-C4-O4        DT          119.787     1.500
N3-C4-C5        DT          115.265     1.500
O4-C4-C5        DT          124.948     1.500
C4-C5-C6        DT          118.305     1.500
N1-C6-C5        DT          123.296     1.500
-

Non-bonded distance     Minimum Dist    Tolerance
-
